U(mV);20;20;20;22;23;23;25;28;31;34;37;41;47;55;55;57;60;63;66;68;70;72;75;76;80;16;17;82;81;79;76;73;72;70;66;62;62;62;60;57;58;54;52;52;52;48;46;45;45;44;40;37;34;31;28;28;25;25;25;21;20;20;18;18;17;17;15;16;16
frec(kHz);405;410;415;420;422;424;426;428;429;430;431;432;433;434;434.2;434.4;434.6;434.8;435;435.2;435.4;435.6;435.8;436;436.2;436.4;436.6;436.8;437;437.2;437.4;437.6;437.8;438;438.2;438.4;438.6;438.8;439;439.2;439.4;439.6;439.8;440;440.2;440.4;440.6;440.8;441;441;442;443;444;445;446;447;448;449;450;455;460;465;470;475;480;485;490;495;500
