U(mV);48;48;48;56;56;72;176;72;72;80;96;112;136;176;280;312;360;432;560;672;944;1370;1450;1090;776;600;480;400;360;312;216;160;136;250;152;120;112;112;120;136;136;144;184;200;216;240;280;328;400;526;760;992;808;560;432;320;290;240;176;120;88;104;120;80;72;72;112;64;56;72;56;56;56;56;56;56;56;56;56;56;56;56;56;64;88;72;72;80;80;80;104;128;172;320;400;504;680;976;992;700;504;384;320;272;160;120;112;96;80;80;88;80;80;80;88;88;112;160;176;216;256;320;456;568;472;336;264;208;104;88;64;80;72;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56
frec(kHz);100;105;110;115;120;125;130;135;140;145;150;155;160;165;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;190;195;200;205;210;215;220;225;230;235;240;245;250;251;252;253;254;255;256;257;258;259;260;261;262;263;264;265;270;280;290;300;310;320;330;340;350;360;370;380;390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;605;610;611;612;613;614;615;616;617;618;619;620;625;630;635;640;645;650;655;660;665;670;675;680;685;690;691;692;693;694;695;696;697;698;699;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840;850;860;870;880;890;900;910;920;930;940;950;960;970;980;990;1000
